village,lon,lat,nbrBati,comm_fkt,fid
batiment1,"47.6177598","-21.1720063","1",TSARATANANA_VOHITRARIVO,1
batiment10,"47.4219114","-21.2556797","1",RANOMAFANA_AMBATOLAHY,2
batiment100,"47.6391749","-21.329225","1",IFANADIANA_ANTAFOTENINA,3
batiment1000,"47.4654602","-21.2602352","1",RANOMAFANA_RANOMAFANA,4
batiment10000,"47.5843793","-20.9115523","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,5
batiment10001,"47.5896755","-20.9118493","1",AMBOHIMANGA DU SUD_AMBODIARA,6
batiment10002,"47.5897369","-20.9118812","1",AMBOHIMANGA DU SUD_AMBODIARA,7
batiment10003,"47.5898639","-20.9118964","1",AMBOHIMANGA DU SUD_AMBODIARA,8
batiment10004,"47.5893629","-20.9146441","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,9
batiment10005,"47.5894665","-20.9146647","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,10
batiment10006,"47.5915267","-20.918329","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,11
batiment10007,"47.5915463","-20.9183602","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,12
batiment10008,"47.5929826","-20.9178961","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,13
batiment10009,"47.5930291","-20.9179048","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,14
batiment1001,"47.4655105","-21.2601582","1",RANOMAFANA_RANOMAFANA,15
batiment10010,"47.590631","-20.9202483","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,16
batiment10011,"47.5904823","-20.9201563","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,17
batiment10012,"47.5905114","-20.9201718","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,18
batiment10013,"47.5894404","-20.9201478","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,19
batiment10014,"47.5894343","-20.9201919","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,20
batiment10015,"47.5895819","-20.9201684","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,21
batiment10016,"47.589678","-20.9203815","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,22
batiment10017,"47.5917067","-20.9214733","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,23
batiment10018,"47.591683","-20.9215518","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,24
batiment10019,"47.5908998","-20.92047","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,25
batiment1002,"47.4650663","-21.2641899","1",RANOMAFANA_RANOMAFANA,26
batiment10020,"47.5911084","-20.920372","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,27
batiment10021,"47.5907189","-20.922949","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,28
batiment10022,"47.591392","-20.9239278","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,29
batiment10023,"47.5914336","-20.9238968","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,30
batiment10024,"47.589075","-20.9304522","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,31
batiment10025,"47.5891056","-20.930512","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,32
batiment10026,"47.5891461","-20.9304713","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,33
batiment10027,"47.5891911","-20.9306209","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,34
batiment10028,"47.5874376","-20.9303113","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,35
batiment10029,"47.5874221","-20.9215256","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,36
batiment1003,"47.4693484","-21.2637481","1",RANOMAFANA_RANOMAFANA,37
batiment10030,"47.5875234","-20.9216031","1",AMBOHIMANGA DU SUD_AMBODIVOASARY,38
