gid,village,nbrbati,lat,lon,comm_fkt
"1",Andranomangatsiaka,"68","-20.7355014119111","47.7479747094585",MAROHARATRA_AMPASIMPOTSY
"2",Ambohipeno,"50","-20.7272719694322","47.7254150769935",MAROHARATRA_AMPASIMPOTSY
"3",NA,"27","-20.7326165104075","47.7403821103767",MAROHARATRA_AMPASIMPOTSY
"4",Ambodivoasary,"77","-20.9156773680564","47.5827173750422",AMBOHIMANGA DU SUD_AMBODIVOASARY
"5",NA,"9","-20.9179978601651","47.554830156233",AMBOHIMANGA DU SUD_AMBODIVOASARY
"6",NA,"8","-20.9131584539766","47.5661148417272",AMBOHIMANGA DU SUD_AMBODIVOASARY
"7",NA,"14","-20.9214049202728","47.5633211807003",AMBOHIMANGA DU SUD_AMBODIVOASARY
"8",Antavolo,"29","-21.6250443997229","47.6729600699636",MAROTOKO_AMBOATROTROKA
"9",Amboatrotroka,"54","-21.6140497644594","47.6792861208994",MAROTOKO_AMBOATROTROKA
"10",Andasivy,"27","-21.6120923123782","47.6947189970755",MAROTOKO_AMBOATROTROKA
"11",Ambohitsara II,"13","-21.600474950617","47.6774827889888",MAROTOKO_AMBOATROTROKA
"12",NA,"40","-21.5612038191595","47.7444307123073",MAROTOKO_MANDIAFASINA
"13",Ambohimiera,"52","-21.5675437523787","47.7203243226001",MAROTOKO_MANDIAFASINA
"14",Androrangalava,"35","-21.5827168573403","47.7138520157259",MAROTOKO_MANDIAFASINA
"15",Anosibe,"81","-21.5455600842533","47.7468770208398",MAROTOKO_MANDIAFASINA
"16",NA,"15","-21.5463973830928","47.7703461072239",MAROTOKO_AMBODIARA SUD
"17",Ambodihara,"104","-21.5389198129834","47.7882511185683",MAROTOKO_AMBODIARA SUD
"18",Ambohimanarivo Ambodiara Sud,"54","-21.5350116236143","47.7877933830941",MAROTOKO_AMBODIARA SUD
"19",Andemaka,"26","-21.5262036636487","47.7898564526971",MAROTOKO_AMBODIARA SUD
"20",NA,"39","-21.5617824480552","47.7932573696252",MAROTOKO_MANAMPANDRANA
"21",Manampandrana,"58","-21.5544849888597","47.7840435449552",MAROTOKO_MANAMPANDRANA
"22",NA,"70","-21.5728821965043","47.7825099231096",MAROTOKO_MANAMPANDRANA
"23",NA,"21","-21.5825490914347","47.77353918471",MAROTOKO_MANAMPANDRANA
"24",Ambalapaiso,"92","-20.6512619161035","47.6589113305445",FASINTSARA_AMBALAPAISO
"25",NA,"8","-20.6531943549622","47.6820257496496",FASINTSARA_AMBALAPAISO
"26",Ambodinonoka,"63","-20.661304456127","47.672792653735",FASINTSARA_AMBALAPAISO
"27",NA,"8","-20.6644540138517","47.6885458595249",FASINTSARA_AMBALAPAISO
"28",Analavory,"115","-20.8650055484774","47.5146747834971",ANALAMPASINA_ANALAVORY
"29",NA,"34","-20.8600031550604","47.5247373833196",ANALAMPASINA_ANALAVORY
"30",Sarahanony,"16","-20.8630521062889","47.536118042883",ANALAMPASINA_ANALAVORY
"31",NA,"21","-20.8566624242583","47.5230503563244",ANALAMPASINA_ANALAVORY
"32",NA,"46","-21.4729948379861","47.723287453435",ANDRORANGAVOLA_ANDRORANGAVOLA
"33",Androrangavola,"326","-21.5035644854672","47.7176958472197",ANDRORANGAVOLA_ANDRORANGAVOLA
"34",NA,"37","-21.482556661539","47.7313831124975",ANDRORANGAVOLA_ANDRORANGAVOLA
"35",Analanakondro,"37","-21.4787364424054","47.754851106619",ANDRORANGAVOLA_ANDRORANGAVOLA
"36",NA,"12","-20.9357341412297","47.5881485698097",AMBOHIMANGA DU SUD_AMBATOFANOKONANA
"37",NA,"12","-20.9313697353311","47.6269471972239",AMBOHIMANGA DU SUD_AMBATOFANOKONANA
"38",Ambodihazo,"88","-20.9333359952706","47.627454794156",AMBOHIMANGA DU SUD_AMBATOFANOKONANA
"39",NA,"23","-20.938146800964","47.6259875681",AMBOHIMANGA DU SUD_AMBATOFANOKONANA
"44",Maromandia,"90","-20.9493715935277","47.6678070298426",AMBOHIMANGA DU SUD_AMBODIRAFIA
"45",NA,"30","-20.9072847876604","47.6412263348372",AMBOHIMANGA DU SUD_AMBODIRAFIA
"46",Ambodirafia,"99","-20.9267013852706","47.654822708943",AMBOHIMANGA DU SUD_AMBODIRAFIA
"47",NA,"24","-20.9259982263089","47.6358995869678",AMBOHIMANGA DU SUD_AMBODIRAFIA
"48",Volovandana Atsinanana,"60","-20.9860321308973","47.6700750049524",AMBOHIMANGA DU SUD_ANTANJONA
"49",NA,"52","-20.9828191217003","47.6632543327941",AMBOHIMANGA DU SUD_ANTANJONA
"50",Antanjona,"70","-20.9948913781318","47.6877773171726",AMBOHIMANGA DU SUD_ANTANJONA
"51",NA,"10","-20.9911744163459","47.6822605752766",AMBOHIMANGA DU SUD_ANTANJONA
"52",NA,"15","-20.9508744966058","47.6813933055147",AMBOHIMANGA DU SUD_FALIARIVO
"53",NA,"12","-20.9674330999497","47.6700311375536",AMBOHIMANGA DU SUD_FALIARIVO
"54",Faliarivo,"109","-20.9662614544592","47.686836261298",AMBOHIMANGA DU SUD_FALIARIVO
"55",NA,"12","-20.9666826535302","47.692972669004",AMBOHIMANGA DU SUD_FALIARIVO
"56",Manakana,"63","-20.6954071036629","47.7369679109189",MAROHARATRA_MANAKANA
"57",NA,"39","-20.7044414000978","47.7359136318889",MAROHARATRA_MANAKANA
"58",NA,"29","-20.6922379654525","47.7386065454125",MAROHARATRA_MANAKANA
"59",NA,"13","-20.7019482553478","47.7355454433426",MAROHARATRA_MANAKANA
"60",Andemaka Nord,"117","-21.0327095561623","47.5424600470651",AMBOHIMIERA_ANDEMAKA NORD
"61",NA,"38","-21.0335197880578","47.5431459018493",AMBOHIMIERA_ANDEMAKA NORD
"62",Vohimarina,"36","-21.041346768119","47.5545904477221",AMBOHIMIERA_ANDEMAKA NORD
"63",Ambohitsara,"35","-21.0495752254494","47.5292420310716",AMBOHIMIERA_ANDEMAKA NORD
"64",NA,"64","-21.1094969323103","47.5847282903607",AMBOHIMIERA_MANARINONY
"65",Soanerano,"39","-21.0887619244777","47.5814595892969",AMBOHIMIERA_MANARINONY
"66",Manarinony,"99","-21.0958603869715","47.5889112585553",AMBOHIMIERA_MANARINONY
"67",Kianjanaomby,"81","-21.1000166356098","47.5998912979397",AMBOHIMIERA_MANARINONY
"68",Ambohinihaonana,"28","-20.9928438618743","47.5304618762881",AMBOHIMIERA_ANTARAMBAKANA
"69",NA,"23","-20.9890545925197","47.536513969583",AMBOHIMIERA_ANTARAMBAKANA
"70",NA,"26","-20.9778752994745","47.5224309013447",AMBOHIMIERA_ANTARAMBAKANA
"71",NA,"48","-20.966542109488","47.5315172923418",AMBOHIMIERA_ANTARAMBAKANA
"72",Sahalalona (Tobilava),"75","-21.0169565096255","47.5858846357849",AMBOHIMIERA_SAHALALONA
"73",Nosihandry,"21","-21.0126891425355","47.5837393536347",AMBOHIMIERA_SAHALALONA
"74",NA,"13","-21.0301286735176","47.5797517548644",AMBOHIMIERA_SAHALALONA
